AD Gene	AD ORF	AD Source Plate	AD Source Well	DB Gene	DB ORF	DB Source Plate	DB Source Well	Retest Result (Binary)	Retest Result (Detailed)	Experiment Name	Sorterd_Interaction_Pair
LOC_OS01G04380				LOC_OS01G04340				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G04340', 'LOC_OS01G04380')
LOC_OS01G04380				LOC_OS01G04370				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G04370', 'LOC_OS01G04380')
LOC_OS01G04380				LOC_OS03G15960				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G04380', 'LOC_OS03G15960')
LOC_OS01G04380				LOC_OS03G16030				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G04380', 'LOC_OS03G16030')
LOC_OS01G04380	LOC_OS01G04380.1	3.0	D03	LOC_OS03G57130	LOC_OS03G57130.1	10.0	E10	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G04380', 'LOC_OS03G57130')
LOC_OS01G04380	LOC_OS01G04380.1	3.0	D03	LOC_OS12G07650	LOC_OS12G07650.1	8.0	F11	True	RED	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G04380', 'LOC_OS12G07650')
LOC_OS01G05490				LOC_OS01G05490				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G05490', 'LOC_OS01G05490')
LOC_OS08G29650				LOC_OS01G06290				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G06290', 'LOC_OS08G29650')
LOC_OS10G02630				LOC_OS01G06290				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G06290', 'LOC_OS10G02630')
LOC_OS01G06500				LOC_OS01G06500				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G06500', 'LOC_OS01G06500')
LOC_OS03G18220	LOC_OS03G18220.1	17.0	F05	LOC_OS01G06660	LOC_OS01G06660.1	17.0	B07	True	BLACK	IST_Retest_from_Vidal_PlateSeq_CP1	('LOC_OS01G06660', 'LOC_OS03G18220')
LOC_OS01G08200				LOC_OS04G43750				True	RED	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G08200', 'LOC_OS04G43750')
LOC_OS01G08860				LOC_OS01G08860				True	BLACK	IST_Retest_from_Sanger_All_Rice	('LOC_OS01G08860', 'LOC_OS01G08860')
